context,question,answers.text,answers.answers_start
"The location in the stereo or surround field is controlled by the pan pot, which, like the fader, is a simple level control device. We localize discrete mix elements of the mix toward the pan-pot-specified louder location. Hard-panned tracks, for which the pan pot is turned fully to one side or the other, come entirely from one loudspeaker and listeners will reliably localize that sound at that location. As we back off the hard-panned setting to one that it is, for example, slightly louder in the left speaker than the right, a perceptual illusion of location between speakers is created.",What are hard panned tracks?,tracks for which the pan pot is turned fully to one side or the other,239
"The location in the stereo or surround field is controlled by the pan pot, which, like the fader, is a simple level control device. We localize discrete mix elements of the mix toward the pan-pot-specified louder location. Hard-panned tracks, for which the pan pot is turned fully to one side or the other, come entirely from one loudspeaker and listeners will reliably localize that sound at that location. As we back off the hard-panned setting to one that it is, for example, slightly louder in the left speaker than the right, a perceptual illusion of location between speakers is created.",How do you create an illusion of location between speakers?,back off the hard-panned setting,424
"We pan core instruments such as the vocal, the snare, the kick drum, and the bass to the center, not just for reasons of aesthetics—many songs make sense when they are in the center—but also for reasons of reliability and audibility: panning these tracks to the center means that they are coming out of both the left and right loudspeakers at the same level. The hope is that no matter where anyone sits, in any room, on any system, these key tracks will still be relatively audible, keeping the overall mix therefore relatively reliable across systems. For vinyl releases, center panning has the added benefit that low frequencies are less likely to toss the needle out of the groove than a hard-panned low- frequency signal.",What instruments are panned to the center?,"the vocal, the snare, the kick drum, and the bass",32
"We pan core instruments such as the vocal, the snare, the kick drum, and the bass to the center, not just for reasons of aesthetics—many songs make sense when they are in the center—but also for reasons of reliability and audibility: panning these tracks to the center means that they are coming out of both the left and right loudspeakers at the same level. The hope is that no matter where anyone sits, in any room, on any system, these key tracks will still be relatively audible, keeping the overall mix therefore relatively reliable across systems. For vinyl releases, center panning has the added benefit that low frequencies are less likely to toss the needle out of the groove than a hard-panned low- frequency signal.",What does panning to the center mean?,tracks are coming out of both the left and right loudspeakers at the same level,290
"We pan core instruments such as the vocal, the snare, the kick drum, and the bass to the center, not just for reasons of aesthetics—many songs make sense when they are in the center—but also for reasons of reliability and audibility: panning these tracks to the center means that they are coming out of both the left and right loudspeakers at the same level. The hope is that no matter where anyone sits, in any room, on any system, these key tracks will still be relatively audible, keeping the overall mix therefore relatively reliable across systems. For vinyl releases, center panning has the added benefit that low frequencies are less likely to toss the needle out of the groove than a hard-panned low- frequency signal.",Why pan to the center?,key tracks will be relatively audible,448
"The net sum of all your panning decisions across all the tracks in the multitrack project must lead to a fairly equal use of the left and right sides, and it typically sits more in the front than in the rear.",What must panning decisions sum to?,fairly equal use of the left and right sides,107
"The standard disclaimer appears here, of course: the only rule in music is that there are no rules in music. Tell an artist what they shouldn't do, and that is what they will most want to do. So if you are feeling a passionate desire to make a rear-heavy surround mix that pulls off to the right, feel free to do so if you have a compelling reason to do so.",what is the only rule in music?,there are no rules in music,107
"The most flexible type of equalizer is the parametric equalizer, so called because it provides three adjustable parameters for altering the spectral shape of any audio signal. The other types of equalizers have just one or two of these three parameters, so mastering these three parameters makes understanding all other types of equalizers much easier. When you learn how to use a parametric equalizer, you are pretty much learning how to use all types of equalizers.",what is the most flexible equalizer?,parametric equalizer,43
"The most flexible type of equalizer is the parametric equalizer, so called because it provides three adjustable parameters for altering the spectral shape of any audio signal. The other types of equalizers have just one or two of these three parameters, so mastering these three parameters makes understanding all other types of equalizers much easier. When you learn how to use a parametric equalizer, you are pretty much learning how to use all types of equalizers.",what does the parametric equalizer provide?,three adjustable parameters for altering the spectral shape of any audio signal,97
"Having aimed for the desired frequency range, you determine how much to alter its amplitude by adjusting a second parameter called cut/boost or gain. This control determines the amount of decrease or increase in amplitude at the center frequency chosen via the frequency selection parameter mentioned previously. To reduce the shrillness of a brassy horn track, select a high frequency (perhaps around 8 kHz) and cut it by a small amount (maybe about 3 dB).",what does gain determine?,amount of decrease or increase in amplitude at the center frequency,180
"Having aimed for the desired frequency range, you determine how much to alter its amplitude by adjusting a second parameter called cut/boost or gain. This control determines the amount of decrease or increase in amplitude at the center frequency chosen via the frequency selection parameter mentioned previously. To reduce the shrillness of a brassy horn track, select a high frequency (perhaps around 8 kHz) and cut it by a small amount (maybe about 3 dB).",how do you reduce the shrillness of a brassy horn?,select a high frequency and cut it by a small amount,367
"The Q describes the frequency width of the cut or boost region. It is perhaps counterintuitive, but the industry standard is that a small value for Q indicates a wide spectral area being boosted. A large value for Q specifies a narrower, more specific area of influence. Engineers frequently say “low Q” and “high Q” to describe wide and narrow equalization settings, respectively.",what does the q describe?,frequency width of the cut or boost region,21
"The Q describes the frequency width of the cut or boost region. It is perhaps counterintuitive, but the industry standard is that a small value for Q indicates a wide spectral area being boosted. A large value for Q specifies a narrower, more specific area of influence. Engineers frequently say “low Q” and “high Q” to describe wide and narrow equalization settings, respectively.",what does a large value of q specify?,"a narrower, more specific area of influence",229
"The Q describes the frequency width of the cut or boost region. It is perhaps counterintuitive, but the industry standard is that a small value for Q indicates a wide spectral area being boosted. A large value for Q specifies a narrower, more specific area of influence. Engineers frequently say “low Q” and “high Q” to describe wide and narrow equalization settings, respectively.",what does a small value for
